Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans ,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker,Risk
less than 0 DM,36,delay in paying off in the past,education,6887,less than 100 DM,between 1 to 4 years,4,male : single,none,3,building society savings agreement/life insurance,29,stores,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,Bad
no checking account,15,existing credits paid back duly till now,furniture/equipment,2708,less than 100 DM,less than 1 year,2,male : single,none,3,building society savings agreement/life insurance,27,bank,own,2,unskilled - resident,1,none,yes,Good
no checking account,18,existing credits paid back duly till now,furniture/equipment,1984,less than 100 DM,between 1 to 4 years,4,male : single,none,4,unknown / no property,47,bank,for free,2,skilled employee / official,1,none,yes,Good
no checking account,60,existing credits paid back duly till now,radio/television,10144,between 100 to 500 DM,between 4 to 7 years,2,female : divorced/separated/married,none,4,real estate,21,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,Good
no checking account,12,critical account/other credits existing (not at this bank),radio/television,1240,unknown/ no savings account,more than 7 years,4,female : divorced/separated/married,none,2,real estate,38,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,Good
no checking account,27,delay in paying off in the past,car (used),8613,more than 1000 DM,between 1 to 4 years,2,male : single,none,2,"car or other, not in attribute 6",27,none,own,2,skilled employee / official,1,none,yes,Good
between 0 to 200 DM,12,existing credits paid back duly till now,radio/television,766,between 500 to 1000 DM,between 1 to 4 years,4,male : single,none,3,real estate,66,none,own,1,unskilled - resident,1,none,yes,Bad
between 0 to 200 DM,15,critical account/other credits existing (not at this bank),radio/television,2728,unknown/ no savings account,between 4 to 7 years,4,male : single,gaurantor,2,real estate,35,bank,own,3,skilled employee / official,1,"yes, registered under the customers name",yes,Good
more than 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,radio/television,1881,less than 100 DM,between 1 to 4 years,2,female : divorced/separated/married,none,2,"car or other, not in attribute 6",44,none,rent,1,unskilled - resident,1,"yes, registered under the customers name",yes,Good
more than 200 DM / salary assignments for at least 1 year,6,existing credits paid back duly till now,car (new),709,more than 1000 DM,less than 1 year,2,male : married/widowed,none,2,real estate,27,none,own,1,unemployed/ unskilled  - non-resident,1,none,no,Good
between 0 to 200 DM,36,existing credits paid back duly till now,radio/television,4795,less than 100 DM,less than 1 year,4,female : divorced/separated/married,none,1,unknown / no property,30,none,own,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,Good
less than 0 DM,27,existing credits paid back duly till now,radio/television,3416,less than 100 DM,between 1 to 4 years,3,male : single,none,2,"car or other, not in attribute 6",27,none,own,1,management/self-employed/highly qualified employee/ officer,1,none,yes,Good
less than 0 DM,18,existing credits paid back duly till now,furniture/equipment,2462,less than 100 DM,between 1 to 4 years,2,male : single,none,2,"car or other, not in attribute 6",22,none,own,1,skilled employee / official,1,none,yes,Bad
no checking account,21,critical account/other credits existing (not at this bank),furniture/equipment,2288,less than 100 DM,less than 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/life insurance,23,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,Good
between 0 to 200 DM,48,all credits at this bank paid back duly,business,3566,between 100 to 500 DM,between 4 to 7 years,4,male : single,none,2,"car or other, not in attribute 6",30,none,own,1,skilled employee / official,1,none,yes,Good
less than 0 DM,6,critical account/other credits existing (not at this bank),car (new),860,less than 100 DM,more than 7 years,1,female : divorced/separated/married,none,4,unknown / no property,39,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,Good
no checking account,12,critical account/other credits existing (not at this bank),car (new),682,between 100 to 500 DM,between 4 to 7 years,4,female : divorced/separated/married,none,3,"car or other, not in attribute 6",51,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,Good
less than 0 DM,36,critical account/other credits existing (not at this bank),furniture/equipment,5371,less than 100 DM,between 1 to 4 years,3,male : single,gaurantor,2,building society savings agreement/life insurance,28,none,own,2,skilled employee / official,1,none,yes,Good
no checking account,18,critical account/other credits existing (not at this bank),radio/television,1582,more than 1000 DM,more than 7 years,4,male : single,none,4,"car or other, not in attribute 6",46,none,own,2,skilled employee / official,1,none,yes,Good
no checking account,6,existing credits paid back duly till now,radio/television,1346,between 100 to 500 DM,more than 7 years,2,male : single,none,4,unknown / no property,42,bank,for free,1,skilled employee / official,2,"yes, registered under the customers name",yes,Good
no checking account,10,existing credits paid back duly till now,radio/television,1924,less than 100 DM,between 1 to 4 years,1,male : single,none,4,building society savings agreement/life insurance,38,none,own,1,skilled employee / official,1,"yes, registered under the customers name",no,Good
more than 200 DM / salary assignments for at least 1 year,36,existing credits paid back duly till now,radio/television,5848,less than 100 DM,between 1 to 4 years,4,male : single,none,1,"car or other, not in attribute 6",24,none,own,1,skilled employee / official,1,none,yes,Good
between 0 to 200 DM,24,critical account/other credits existing (not at this bank),car (used),7758,more than 1000 DM,more than 7 years,2,female : divorced/separated/married,none,4,unknown / no property,29,none,rent,1,skilled employee / official,1,none,yes,Good
between 0 to 200 DM,24,delay in paying off in the past,business,6967,between 100 to 500 DM,between 4 to 7 years,4,male : single,none,4,"car or other, not in attribute 6",36,none,rent,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,Good
less than 0 DM,12,existing credits paid back duly till now,furniture/equipment,1282,less than 100 DM,between 1 to 4 years,2,female : divorced/separated/married,none,4,"car or other, not in attribute 6",20,none,rent,1,skilled employee / official,1,none,yes,Bad
less than 0 DM,9,critical account/other credits existing (not at this bank),repairs,1288,between 100 to 500 DM,more than 7 years,3,male : single,gaurantor,4,real estate,48,none,own,2,skilled employee / official,2,none,no,Good
less than 0 DM,12,all credits at this bank paid back duly,retraining,339,less than 100 DM,more than 7 years,4,male : married/widowed,none,1,"car or other, not in attribute 6",45,bank,own,1,unskilled - resident,1,none,yes,Good
between 0 to 200 DM,24,existing credits paid back duly till now,car (new),3512,between 100 to 500 DM,between 4 to 7 years,2,male : single,none,3,"car or other, not in attribute 6",38,bank,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,Good
no checking account,6,critical account/other credits existing (not at this bank),radio/television,1898,unknown/ no savings account,between 1 to 4 years,1,male : single,none,2,real estate,34,none,own,2,unskilled - resident,2,none,yes,Good
no checking account,24,critical account/other credits existing (not at this bank),radio/television,2872,between 100 to 500 DM,more than 7 years,3,male : single,none,4,real estate,36,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,Good
no checking account,18,critical account/other credits existing (not at this bank),car (new),1055,less than 100 DM,less than 1 year,4,female : divorced/separated/married,none,1,building society savings agreement/life insurance,30,none,own,2,skilled employee / official,1,none,yes,Good
no checking account,15,existing credits paid back duly till now,domestic appliances,1262,between 500 to 1000 DM,between 4 to 7 years,4,male : single,none,3,building society savings agreement/life insurance,36,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,Good
between 0 to 200 DM,10,existing credits paid back duly till now,car (new),7308,less than 100 DM,unemployed,2,male : single,none,4,unknown / no property,70,bank,for free,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,Good
no checking account,36,existing credits paid back duly till now,car (new),909,between 500 to 1000 DM,more than 7 years,4,male : single,none,4,building society savings agreement/life insurance,36,none,own,1,skilled employee / official,1,none,yes,Good
no checking account,6,existing credits paid back duly till now,furniture/equipment,2978,between 500 to 1000 DM,between 1 to 4 years,1,male : single,none,2,"car or other, not in attribute 6",32,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,Good
